epoch,stage,rss_total_mb,rss_by_rank_mb,host_available_mb,gpu_allocated_by_rank_mb,gpu_reserved_by_rank_mb
0,setup,3173.58984375,"{""0"": 1584.51171875, ""1"": 1589.078125}",28131.640625,"{""0"": 223.26416015625, ""1"": 223.26416015625}","{""0"": 232.0, ""1"": 232.0}"
1,after_train,4110.8125,"{""0"": 2051.05078125, ""1"": 2059.76171875}",27288.078125,"{""0"": 445.92724609375, ""1"": 445.92724609375}","{""0"": 504.0, ""1"": 504.0}"
1,after_validation,4103.54296875,"{""0"": 2043.78125, ""1"": 2059.76171875}",27282.1171875,"{""0"": 445.927734375, ""1"": 445.927734375}","{""0"": 504.0, ""1"": 504.0}"
1,after_checkpoint,4104.0,"{""0"": 2044.23828125, ""1"": 2059.76171875}",27266.28515625,"{""0"": 445.927734375, ""1"": 445.927734375}","{""0"": 504.0, ""1"": 504.0}"
2,after_train,4104.04296875,"{""0"": 2035.3671875, ""1"": 2068.67578125}",27292.734375,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
2,after_validation,4101.52734375,"{""0"": 2032.8515625, ""1"": 2068.67578125}",27283.671875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
2,after_checkpoint,4101.52734375,"{""0"": 2032.8515625, ""1"": 2068.67578125}",27290.765625,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
3,after_train,4119.234375,"{""0"": 2053.5234375, ""1"": 2065.7109375}",27264.77734375,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
3,after_validation,4128.1328125,"{""0"": 2062.421875, ""1"": 2065.7109375}",27250.80859375,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
3,after_checkpoint,4128.1328125,"{""0"": 2062.421875, ""1"": 2065.7109375}",27268.7734375,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
4,after_train,4128.1328125,"{""0"": 2062.421875, ""1"": 2065.7109375}",27272.14453125,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
4,after_validation,4116.9375,"{""0"": 2051.2265625, ""1"": 2065.7109375}",27281.29296875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
4,after_checkpoint,4116.9375,"{""0"": 2051.2265625, ""1"": 2065.7109375}",27259.03125,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
5,after_train,4108.1640625,"{""0"": 2042.453125, ""1"": 2065.7109375}",27273.34375,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
5,after_validation,4112.4296875,"{""0"": 2046.71875, ""1"": 2065.7109375}",27274.19140625,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
5,after_checkpoint,4094.0078125,"{""0"": 2028.296875, ""1"": 2065.7109375}",27288.1484375,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
