split,type,scene_id,input_psnr,input_ssim,psnr,ssim,delta_psnr,delta_ssim,latency_ms
validation,low,00059,14.274983324926119,0.27828025817871094,24.16042817441855,0.710490882396698,9.88544484949243,0.43221062421798706,2481.2789799999564
validation,low,00065,11.773002067270227,0.45135363936424255,19.531217047603125,0.6662317514419556,7.758214980332898,0.214878112077713,315.1857980000159
validation,low,00110,9.510742327712386,0.2916398048400879,22.227393199581186,0.6837747097015381,12.7166508718688,0.3921349048614502,2455.3155599999172
validation,low,00122,11.138780145664384,0.21751263737678528,19.14187648840481,0.5039306282997131,8.003096342740427,0.28641799092292786,323.51850199995624
validation,low,00127,12.917955182261514,0.31334736943244934,18.415814551881137,0.5528702139854431,5.497859369619624,0.23952284455299377,308.02416400001675
validation,haze,00059,14.415828116982084,0.8187342286109924,21.033394034861846,0.9278348088264465,6.617565917879762,0.1091005802154541,309.14897499997096
validation,haze,00065,16.106239844260696,0.7731043100357056,19.74952244400467,0.8378085494041443,3.643282599743973,0.06470423936843872,312.1518149999929
validation,haze,00110,16.55536287913816,0.8926758766174316,23.072220174557163,0.9266858696937561,6.516857295419005,0.03400999307632446,310.12929799999256
validation,haze,00122,13.874291508463823,0.7511030435562134,17.475643966365737,0.7739551663398743,3.601352457901914,0.02285212278366089,310.76696799993897
validation,haze,00127,12.25019825532357,0.5964904427528381,18.150253198524634,0.7677018046379089,5.900054943201065,0.1712113618850708,311.9961779999585
validation,rain,00059,31.439517197140642,0.91169673204422,28.847599300823887,0.9328016638755798,-2.5919178963167546,0.021104931831359863,309.11900199998854
validation,rain,00065,23.826359999308323,0.8363314270973206,24.014255902229706,0.829098105430603,0.18789590292138314,-0.007233321666717529,309.26728600002207
validation,rain,00110,16.41426590996138,0.6615542769432068,21.215394241978846,0.649297297000885,4.801128332017466,-0.012256979942321777,314.8078369999894
validation,rain,00122,19.5931394624984,0.7135766744613647,23.28699682647359,0.7620880007743835,3.693857363975191,0.0485113263130188,310.3964109999424
validation,rain,00127,24.07335055141717,0.7307514548301697,24.67969150456307,0.7164577841758728,0.6063409531458994,-0.014293670654296875,310.49236199999086
validation,snow,00059,33.127096114559585,0.9884623289108276,27.01459529414933,0.9495164752006531,-6.112500820410254,-0.03894585371017456,309.2017820000592
validation,snow,00065,24.45285218756885,0.9130646586418152,23.630541282493162,0.8802840113639832,-0.8223109050756889,-0.03278064727783203,313.7197710000237
validation,snow,00110,20.503784281110796,0.8096226453781128,23.665202893622798,0.7885554432868958,3.1614186125120014,-0.02106720209121704,310.71248200009904
validation,snow,00122,18.65557445286879,0.7678837180137634,19.5797713507582,0.7889599800109863,0.9241968978894093,0.0210762619972229,314.15811900001245
validation,snow,00127,26.867891928681313,0.9643093943595886,25.288775972382563,0.8940000534057617,-1.5791159562987502,-0.0703093409538269,315.9228939999821
validation,low_haze,00059,16.26041635161399,0.5411176085472107,18.682338014023017,0.712090790271759,2.4219216624090265,0.17097318172454834,315.2473520000285
validation,low_haze,00065,14.203398615754327,0.5415125489234924,16.521068862389946,0.6286129951477051,2.3176702466356183,0.08710044622421265,312.1439509999391
validation,low_haze,00110,15.58930308414716,0.5698410272598267,22.303702590225623,0.6663042306900024,6.714399506078463,0.09646320343017578,311.8492559999595
validation,low_haze,00122,11.0372215869337,0.30676335096359253,12.088704991487242,0.35628068447113037,1.051483404553542,0.04951733350753784,313.99901199995384
validation,low_haze,00127,14.405570584694674,0.558728039264679,15.697234467424416,0.6362324953079224,1.2916638827297415,0.07750445604324341,316.1174760000449
validation,low_rain,00059,16.108003821864443,0.410472571849823,22.85252710296882,0.6723628044128418,6.744523281104378,0.2618902325630188,313.4046780000972
validation,low_rain,00065,13.514641597111956,0.5086477994918823,19.698587704960705,0.664203405380249,6.183946107848749,0.1555556058883667,315.4832620000434
validation,low_rain,00110,12.876486579090631,0.20348456501960754,20.280693060659626,0.42289549112319946,7.404206481568995,0.21941092610359192,313.8169569999718
validation,low_rain,00122,12.052902317279763,0.29233354330062866,19.064182081173122,0.5122693181037903,7.011279763893359,0.21993577480316162,312.8666909999538
validation,low_rain,00127,15.769001916863033,0.498128205537796,16.981997405754342,0.4870157539844513,1.212995488891309,-0.011112451553344727,312.01268100005564
validation,low_snow,00059,15.322570356590926,0.24192498624324799,17.36123311265289,0.6006960272789001,2.0386627560619637,0.35877104103565216,317.9656799999293
validation,low_snow,00065,15.307405427480202,0.44828835129737854,16.308063834098316,0.6017452478408813,1.0006584066181148,0.1534568965435028,310.8564159999787
validation,low_snow,00110,11.77030553064905,0.353939414024353,23.749188857116224,0.6365088224411011,11.978883326467173,0.28256940841674805,313.4213189999855
validation,low_snow,00122,12.790129328095453,0.21848569810390472,14.571585992444652,0.30371251702308655,1.7814566643491982,0.08522681891918182,313.26607000005424
validation,low_snow,00127,13.111748464319792,0.45921576023101807,15.933916285900862,0.6750056147575378,2.82216782158107,0.21578985452651978,314.0118620000294
validation,haze_rain,00059,16.375845138858537,0.7686006426811218,22.697318470378853,0.881132960319519,6.321473331520316,0.11253231763839722,315.2440070000466
validation,haze_rain,00065,11.44974795164892,0.6429965496063232,17.27104683499976,0.7581867575645447,5.821298883350838,0.11519020795822144,312.0387030000984
validation,haze_rain,00110,18.649038529758663,0.7885671854019165,23.806925278291445,0.7394994497299194,5.157886748532782,-0.04906773567199707,312.7841710000894
validation,haze_rain,00122,10.634523546375124,0.6135637164115906,14.002528484459235,0.695142924785614,3.368004938084111,0.08157920837402344,310.89116800001193
validation,haze_rain,00127,9.900834888273366,0.5450974106788635,15.714970677887425,0.6421516537666321,5.81413578961406,0.09705424308776855,312.16399300001285
validation,haze_snow,00059,13.736240175019708,0.7912216186523438,20.48074450851182,0.9018372297286987,6.744504333492111,0.11061561107635498,316.9829060000211
validation,haze_snow,00065,12.329676678215547,0.6861189007759094,17.72468770391505,0.7749567627906799,5.395011025699501,0.08883786201477051,313.6867109999457
validation,haze_snow,00110,21.21836123883112,0.921520471572876,23.663453260787396,0.9090399146080017,2.4450920219562775,-0.012480556964874268,316.4790460000404
validation,haze_snow,00122,11.795658749134716,0.5798597931861877,15.552671742833208,0.6750376224517822,3.757012993698492,0.09517782926559448,311.40616000004684
validation,haze_snow,00127,11.139944056727778,0.5802179574966431,17.23227454413012,0.7388074398040771,6.092330487402343,0.15858948230743408,316.43528199992943
validation,low_haze_rain,00059,16.17319632128504,0.3419407308101654,17.44458086490634,0.49590611457824707,1.2713845436212985,0.15396538376808167,317.5285790000544
validation,low_haze_rain,00065,13.26968752951319,0.4333617091178894,16.1647307454737,0.5241700410842896,2.895043215960511,0.09080833196640015,315.8419110000068
validation,low_haze_rain,00110,16.549723582524443,0.6172915697097778,22.874914785313514,0.6746551394462585,6.325191202789071,0.05736356973648071,321.2687579999738
validation,low_haze_rain,00122,12.14911582024095,0.24633081257343292,13.783388229942561,0.2612314522266388,1.6342724097016106,0.014900639653205872,311.40850499991757
validation,low_haze_rain,00127,10.099668553810428,0.40313833951950073,15.219816009509797,0.5038199424743652,5.120147455699369,0.1006816029548645,312.9147350000494
validation,low_haze_snow,00059,13.325847192297145,0.5613639950752258,16.32664953842746,0.6182633638381958,3.0008023461303157,0.05689936876296997,310.290317999943
validation,low_haze_snow,00065,12.335242053012838,0.4372805058956146,14.631758037064593,0.5390028357505798,2.296515984051755,0.10172232985496521,311.75098300002446
validation,low_haze_snow,00110,13.471806102220945,0.4489792585372925,20.83956697367267,0.6313248872756958,7.3677608714517255,0.18234562873840332,311.2333699999681
validation,low_haze_snow,00122,12.852289420187034,0.3352140486240387,15.625416675093941,0.37220367789268494,2.773127254906907,0.03698962926864624,314.59289999997964
validation,low_haze_snow,00127,11.339483403449703,0.3812287151813507,15.027873327920778,0.4628176689147949,3.6883899244710747,0.08158895373344421,315.60924799987333
