epoch,stage,rss_total_mb,rss_by_rank_mb,host_available_mb,gpu_allocated_by_rank_mb,gpu_reserved_by_rank_mb
0,setup,3180.94921875,"{""0"": 1590.20703125, ""1"": 1590.7421875}",28103.7109375,"{""0"": 223.26416015625, ""1"": 223.26416015625}","{""0"": 232.0, ""1"": 232.0}"
1,after_train,4138.1953125,"{""0"": 2070.984375, ""1"": 2067.2109375}",27247.1171875,"{""0"": 445.92724609375, ""1"": 445.92724609375}","{""0"": 504.0, ""1"": 504.0}"
1,after_validation,4138.1953125,"{""0"": 2070.984375, ""1"": 2067.2109375}",27241.46484375,"{""0"": 445.927734375, ""1"": 445.927734375}","{""0"": 504.0, ""1"": 504.0}"
1,after_checkpoint,4138.2578125,"{""0"": 2071.046875, ""1"": 2067.2109375}",27233.234375,"{""0"": 445.927734375, ""1"": 445.927734375}","{""0"": 504.0, ""1"": 504.0}"
2,after_train,4086.49609375,"{""0"": 2059.265625, ""1"": 2027.23046875}",27288.703125,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
2,after_validation,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27299.0390625,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
2,after_checkpoint,4117.4609375,"{""0"": 2090.23046875, ""1"": 2027.23046875}",27260.57421875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
3,after_train,4139.625,"{""0"": 2073.92578125, ""1"": 2065.69921875}",27246.9765625,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
3,after_validation,4141.125,"{""0"": 2075.42578125, ""1"": 2065.69921875}",27234.13671875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
3,after_checkpoint,4141.125,"{""0"": 2075.42578125, ""1"": 2065.69921875}",27225.85546875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
4,after_train,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27308.52734375,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
4,after_validation,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27307.4296875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
4,after_checkpoint,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27304.4765625,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
5,after_train,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27298.62109375,"{""0"": 445.92822265625, ""1"": 445.92822265625}","{""0"": 504.0, ""1"": 504.0}"
5,after_validation,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27308.66796875,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
5,after_checkpoint,4074.58203125,"{""0"": 2047.3515625, ""1"": 2027.23046875}",27295.234375,"{""0"": 445.9287109375, ""1"": 445.9287109375}","{""0"": 504.0, ""1"": 504.0}"
