epoch,stage,rss_total_mb,rss_by_rank_mb,host_available_mb,gpu_allocated_by_rank_mb,gpu_reserved_by_rank_mb
0,setup,3241.546875,"{""0"": 1619.65234375, ""1"": 1621.89453125}",27788.48828125,"{""0"": 232.51123046875, ""1"": 232.51123046875}","{""0"": 256.0, ""1"": 256.0}"
1,after_train,4348.2421875,"{""0"": 2174.37109375, ""1"": 2173.87109375}",26779.30078125,"{""0"": 466.74755859375, ""1"": 466.74755859375}","{""0"": 536.0, ""1"": 536.0}"
1,after_validation,4522.08203125,"{""0"": 2348.2109375, ""1"": 2173.87109375}",26584.703125,"{""0"": 466.748046875, ""1"": 466.748046875}","{""0"": 536.0, ""1"": 536.0}"
1,after_checkpoint,4477.84375,"{""0"": 2303.97265625, ""1"": 2173.87109375}",26610.80078125,"{""0"": 466.748046875, ""1"": 466.748046875}","{""0"": 536.0, ""1"": 536.0}"
2,after_train,4486.00390625,"{""0"": 2286.19140625, ""1"": 2199.8125}",26602.09765625,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 536.0, ""1"": 536.0}"
2,after_validation,4565.96875,"{""0"": 2366.15625, ""1"": 2199.8125}",26531.2578125,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
2,after_checkpoint,4494.90625,"{""0"": 2295.09375, ""1"": 2199.8125}",26595.3125,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
3,after_train,4505.3046875,"{""0"": 2321.66796875, ""1"": 2183.63671875}",26628.64453125,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 536.0, ""1"": 536.0}"
3,after_validation,4543.8984375,"{""0"": 2360.26171875, ""1"": 2183.63671875}",26592.59765625,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
3,after_checkpoint,4499.52734375,"{""0"": 2315.890625, ""1"": 2183.63671875}",26640.1328125,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
4,after_train,4517.203125,"{""0"": 2315.890625, ""1"": 2201.3125}",26629.18359375,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 536.0, ""1"": 536.0}"
4,after_validation,4549.1171875,"{""0"": 2347.8046875, ""1"": 2201.3125}",26595.99609375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
4,after_checkpoint,4531.3203125,"{""0"": 2330.0078125, ""1"": 2201.3125}",26586.34765625,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
5,after_train,4525.296875,"{""0"": 2320.984375, ""1"": 2204.3125}",26611.3125,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 536.0, ""1"": 536.0}"
5,after_validation,4561.57421875,"{""0"": 2357.26171875, ""1"": 2204.3125}",26585.84375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
5,after_checkpoint,4499.40625,"{""0"": 2295.09375, ""1"": 2204.3125}",26642.609375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 536.0, ""1"": 536.0}"
