epoch,stage,rss_total_mb,rss_by_rank_mb,host_available_mb,gpu_allocated_by_rank_mb,gpu_reserved_by_rank_mb
0,setup,3236.171875,"{""0"": 1617.6015625, ""1"": 1618.5703125}",27812.44921875,"{""0"": 232.51123046875, ""1"": 232.51123046875}","{""0"": 258.0, ""1"": 258.0}"
1,after_train,4331.2890625,"{""0"": 2145.08203125, ""1"": 2186.20703125}",26799.32421875,"{""0"": 466.74755859375, ""1"": 466.74755859375}","{""0"": 554.0, ""1"": 554.0}"
1,after_validation,4560.2109375,"{""0"": 2374.00390625, ""1"": 2186.20703125}",26560.140625,"{""0"": 466.748046875, ""1"": 466.748046875}","{""0"": 554.0, ""1"": 554.0}"
1,after_checkpoint,4507.734375,"{""0"": 2321.52734375, ""1"": 2186.20703125}",26608.85546875,"{""0"": 466.748046875, ""1"": 466.748046875}","{""0"": 554.0, ""1"": 554.0}"
2,after_train,4498.2421875,"{""0"": 2321.5390625, ""1"": 2176.703125}",26663.84375,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 554.0, ""1"": 554.0}"
2,after_validation,4462.6484375,"{""0"": 2285.9453125, ""1"": 2176.703125}",26666.109375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
2,after_checkpoint,4444.87109375,"{""0"": 2268.16796875, ""1"": 2176.703125}",26666.90625,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
3,after_train,4406.55859375,"{""0"": 2260.76953125, ""1"": 2145.7890625}",26703.734375,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 554.0, ""1"": 554.0}"
3,after_validation,4468.7265625,"{""0"": 2322.9375, ""1"": 2145.7890625}",26650.515625,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
3,after_checkpoint,4442.15625,"{""0"": 2296.3671875, ""1"": 2145.7890625}",26687.95703125,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
4,after_train,4405.91015625,"{""0"": 2260.76953125, ""1"": 2145.140625}",26908.31640625,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 554.0, ""1"": 554.0}"
4,after_validation,4466.578125,"{""0"": 2321.4375, ""1"": 2145.140625}",26832.12109375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
4,after_checkpoint,4448.90625,"{""0"": 2303.765625, ""1"": 2145.140625}",26850.3125,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
5,after_train,4413.30859375,"{""0"": 2268.16796875, ""1"": 2145.140625}",26877.2890625,"{""0"": 466.74853515625, ""1"": 466.74853515625}","{""0"": 554.0, ""1"": 554.0}"
5,after_validation,4484.37890625,"{""0"": 2339.23828125, ""1"": 2145.140625}",26778.90234375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
5,after_checkpoint,4484.37890625,"{""0"": 2339.23828125, ""1"": 2145.140625}",26815.40234375,"{""0"": 466.7490234375, ""1"": 466.7490234375}","{""0"": 554.0, ""1"": 554.0}"
