model,sample,method,psnr,input_psnr,delta_vs_input_db,restored_fraction
a0l,haze_00059,input,14.415828091837176,14.415828091837176,0.0,0.0
a0l,haze_00059,restored,21.43800239479613,14.415828091837176,7.022174302958954,1.0
a0l,haze_00059,fixed_beta_0.93,21.597986147283173,14.415828091837176,7.182158055445997,0.93
a0l,haze_00059,oracle_image,21.43800239479613,14.415828091837176,7.022174302958954,1.0
a0l,haze_00059,oracle_block_32,23.782918344105582,14.415828091837176,9.367090252268406,0.8093827160493827
a0l,haze_00059,oracle_block_8,23.955660811583726,14.415828091837176,9.539832719746551,0.7934156378600823
a0l,haze_rain_00059,input,16.375845419483124,16.375845419483124,0.0,0.0
a0l,haze_rain_00059,restored,20.79278027647421,16.375845419483124,4.416934856991087,1.0
a0l,haze_rain_00059,fixed_beta_0.93,21.227227682984584,16.375845419483124,4.85138226350146,0.93
a0l,haze_rain_00059,oracle_image,20.79278027647421,16.375845419483124,4.416934856991087,1.0
a0l,haze_rain_00059,oracle_block_32,23.733222037989737,16.375845419483124,7.357376618506613,0.691522633744856
a0l,haze_rain_00059,oracle_block_8,23.912832337085852,16.375845419483124,7.536986917602729,0.6739917695473251
a0l,haze_snow_00059,input,13.736240236780263,13.736240236780263,0.0,0.0
a0l,haze_snow_00059,restored,21.181932370209505,13.736240236780263,7.445692133429242,1.0
a0l,haze_snow_00059,fixed_beta_0.93,21.26556326850281,13.736240236780263,7.529323031722546,0.93
a0l,haze_snow_00059,oracle_image,21.181932370209505,13.736240236780263,7.445692133429242,1.0
a0l,haze_snow_00059,oracle_block_32,23.29150225119345,13.736240236780263,9.555262014413186,0.7916049382716049
a0l,haze_snow_00059,oracle_block_8,23.484003736234143,13.736240236780263,9.74776349945388,0.7846090534979424
a0l,low_00059,input,14.274983235246454,14.274983235246454,0.0,0.0
a0l,low_00059,restored,25.445358870462684,14.274983235246454,11.17037563521623,1.0
a0l,low_00059,fixed_beta_0.93,24.7215650997383,14.274983235246454,10.446581864491845,0.93
a0l,low_00059,oracle_image,25.445358870462684,14.274983235246454,11.17037563521623,1.0
a0l,low_00059,oracle_block_32,25.445358869097795,14.274983235246454,11.170375633851341,1.0
a0l,low_00059,oracle_block_8,25.44694916017044,14.274983235246454,11.171965924923986,0.9989300411522634
a0l,low_haze_00059,input,16.260416600341657,16.260416600341657,0.0,0.0
a0l,low_haze_00059,restored,22.307231426797674,16.260416600341657,6.046814826456018,1.0
a0l,low_haze_00059,fixed_beta_0.93,22.076306541669343,16.260416600341657,5.815889941327686,0.93
a0l,low_haze_00059,oracle_image,22.307231426797674,16.260416600341657,6.046814826456018,1.0
a0l,low_haze_00059,oracle_block_32,22.695028840141326,16.260416600341657,6.4346122397996695,0.9274074074074075
a0l,low_haze_00059,oracle_block_8,22.832187152831878,16.260416600341657,6.5717705524902215,0.902633744855967
a0l,low_haze_rain_00059,input,16.173196315291534,16.173196315291534,0.0,0.0
a0l,low_haze_rain_00059,restored,19.839694348123093,16.173196315291534,3.6664980328315586,1.0
a0l,low_haze_rain_00059,fixed_beta_0.93,19.685722042689548,16.173196315291534,3.512525727398014,0.93
a0l,low_haze_rain_00059,oracle_image,19.839694348123093,16.173196315291534,3.6664980328315586,1.0
a0l,low_haze_rain_00059,oracle_block_32,20.051556954292195,16.173196315291534,3.878360639000661,0.9211522633744856
a0l,low_haze_rain_00059,oracle_block_8,20.134363895081364,16.173196315291534,3.96116757978983,0.9011522633744856
a0l,low_haze_snow_00059,input,13.325847338262367,13.325847338262367,0.0,0.0
a0l,low_haze_snow_00059,restored,16.178000929766384,13.325847338262367,2.852153591504017,1.0
a0l,low_haze_snow_00059,fixed_beta_0.93,16.212188357814576,13.325847338262367,2.8863410195522086,0.93
a0l,low_haze_snow_00059,oracle_image,16.178000929766384,13.325847338262367,2.852153591504017,1.0
a0l,low_haze_snow_00059,oracle_block_32,18.07128097950397,13.325847338262367,4.745433641241604,0.7297119341563786
a0l,low_haze_snow_00059,oracle_block_8,18.273849635278985,13.325847338262367,4.948002297016618,0.7081481481481482
a0l,low_rain_00059,input,16.10800411480679,16.10800411480679,0.0,0.0
a0l,low_rain_00059,restored,24.843314252666204,16.10800411480679,8.735310137859415,1.0
a0l,low_rain_00059,fixed_beta_0.93,24.615529144045503,16.10800411480679,8.507525029238714,0.93
a0l,low_rain_00059,oracle_image,24.843314252666204,16.10800411480679,8.735310137859415,1.0
a0l,low_rain_00059,oracle_block_32,24.878148890382107,16.10800411480679,8.770144775575318,0.9812345679012345
a0l,low_rain_00059,oracle_block_8,25.09439827012465,16.10800411480679,8.98639415531786,0.9422222222222222
a0l,low_snow_00059,input,15.322570251646553,15.322570251646553,0.0,0.0
a0l,low_snow_00059,restored,21.11105094456722,15.322570251646553,5.788480692920668,1.0
a0l,low_snow_00059,fixed_beta_0.93,21.094777443006972,15.322570251646553,5.772207191360419,0.93
a0l,low_snow_00059,oracle_image,21.11105094456722,15.322570251646553,5.788480692920668,1.0
a0l,low_snow_00059,oracle_block_32,21.448980026846126,15.322570251646553,6.126409775199573,0.9007407407407407
a0l,low_snow_00059,oracle_block_8,21.987435470453775,15.322570251646553,6.664865218807222,0.8603292181069959
a0l,rain_00059,input,31.43951744874268,31.43951744874268,0.0,0.0
a0l,rain_00059,restored,31.158011806725952,31.43951744874268,-0.2815056420167288,1.0
a0l,rain_00059,fixed_beta_0.93,31.877174032611038,31.43951744874268,0.4376565838683568,0.93
a0l,rain_00059,oracle_image,31.43951744874268,31.43951744874268,0.0,0.0
a0l,rain_00059,oracle_block_32,33.488859082321554,31.43951744874268,2.049341633578873,0.5221399176954733
a0l,rain_00059,oracle_block_8,34.45991374361594,31.43951744874268,3.0203962948732617,0.5607407407407408
a0l,snow_00059,input,33.12709635187046,33.12709635187046,0.0,0.0
a0l,snow_00059,restored,28.70319559268622,33.12709635187046,-4.423900759184242,1.0
a0l,snow_00059,fixed_beta_0.93,29.279269591387646,33.12709635187046,-3.8478267604828176,0.93
a0l,snow_00059,oracle_image,33.12709635187046,33.12709635187046,0.0,0.0
a0l,snow_00059,oracle_block_32,35.81312864025201,33.12709635187046,2.686032288381547,0.07078189300411522
a0l,snow_00059,oracle_block_8,38.8539236602248,33.12709635187046,5.726827308354338,0.02962962962962963
a2l,haze_00059,input,14.415828091837176,14.415828091837176,0.0,0.0
a2l,haze_00059,restored,23.399086139679163,14.415828091837176,8.983258047841987,1.0
a2l,haze_00059,fixed_beta_0.95,23.260440615177806,14.415828091837176,8.844612523340631,0.9500000000000001
a2l,haze_00059,oracle_image,23.399086139679163,14.415828091837176,8.983258047841987,1.0
a2l,haze_00059,oracle_block_32,25.056203569761045,14.415828091837176,10.64037547792387,0.8594238683127572
a2l,haze_00059,oracle_block_8,25.222866017451704,14.415828091837176,10.807037925614528,0.8479835390946502
a2l,haze_rain_00059,input,16.375845419483124,16.375845419483124,0.0,0.0
a2l,haze_rain_00059,restored,21.16656915442846,16.375845419483124,4.790723734945335,1.0
a2l,haze_rain_00059,fixed_beta_0.95,21.330607442480108,16.375845419483124,4.954762022996984,0.9500000000000001
a2l,haze_rain_00059,oracle_image,21.16656915442846,16.375845419483124,4.790723734945335,1.0
a2l,haze_rain_00059,oracle_block_32,23.976333226856834,16.375845419483124,7.60048780737371,0.7241152263374485
a2l,haze_rain_00059,oracle_block_8,24.12671336607401,16.375845419483124,7.750867946590887,0.7097942386831275
a2l,haze_snow_00059,input,13.736240236780263,13.736240236780263,0.0,0.0
a2l,haze_snow_00059,restored,22.835135907044428,13.736240236780263,9.098895670264165,1.0
a2l,haze_snow_00059,fixed_beta_0.95,22.66548072938699,13.736240236780263,8.929240492606725,0.9500000000000001
a2l,haze_snow_00059,oracle_image,22.835135907044428,13.736240236780263,9.098895670264165,1.0
a2l,haze_snow_00059,oracle_block_32,24.288907178651044,13.736240236780263,10.55266694187078,0.8607407407407407
a2l,haze_snow_00059,oracle_block_8,24.47328277728776,13.736240236780263,10.737042540507497,0.8432921810699588
a2l,low_00059,input,14.274983235246454,14.274983235246454,0.0,0.0
a2l,low_00059,restored,25.8090179248265,14.274983235246454,11.534034689580045,1.0
a2l,low_00059,fixed_beta_0.95,25.477473255896324,14.274983235246454,11.20249002064987,0.9500000000000001
a2l,low_00059,oracle_image,25.8090179248265,14.274983235246454,11.534034689580045,1.0
a2l,low_00059,oracle_block_32,25.810162769458792,14.274983235246454,11.535179534212338,0.9993415637860082
a2l,low_00059,oracle_block_8,25.820718652932534,14.274983235246454,11.54573541768608,0.9953086419753087
a2l,low_haze_00059,input,16.260416600341657,16.260416600341657,0.0,0.0
a2l,low_haze_00059,restored,23.006908629183652,16.260416600341657,6.746492028841995,1.0
a2l,low_haze_00059,fixed_beta_0.95,22.910749179158127,16.260416600341657,6.650332578816471,0.9500000000000001
a2l,low_haze_00059,oracle_image,23.006908629183652,16.260416600341657,6.746492028841995,1.0
a2l,low_haze_00059,oracle_block_32,23.40360577856885,16.260416600341657,7.143189178227193,0.9125925925925926
a2l,low_haze_00059,oracle_block_8,23.579934561299353,16.260416600341657,7.319517960957697,0.8944855967078189
a2l,low_haze_rain_00059,input,16.173196315291534,16.173196315291534,0.0,0.0
a2l,low_haze_rain_00059,restored,20.200256055427353,16.173196315291534,4.027059740135819,1.0
a2l,low_haze_rain_00059,fixed_beta_0.95,20.07327145888545,16.173196315291534,3.9000751435939165,0.9500000000000001
a2l,low_haze_rain_00059,oracle_image,20.200256055427353,16.173196315291534,4.027059740135819,1.0
a2l,low_haze_rain_00059,oracle_block_32,20.387293626443793,16.173196315291534,4.214097311152258,0.9504526748971194
a2l,low_haze_rain_00059,oracle_block_8,20.45124803734077,16.173196315291534,4.278051722049234,0.9272427983539094
a2l,low_haze_snow_00059,input,13.325847338262367,13.325847338262367,0.0,0.0
a2l,low_haze_snow_00059,restored,16.08668634615658,13.325847338262367,2.760839007894212,1.0
a2l,low_haze_snow_00059,fixed_beta_0.95,16.14066357347455,13.325847338262367,2.8148162352121844,0.9500000000000001
a2l,low_haze_snow_00059,oracle_image,16.08668634615658,13.325847338262367,2.760839007894212,1.0
a2l,low_haze_snow_00059,oracle_block_32,18.470117696359257,13.325847338262367,5.14427035809689,0.7494650205761317
a2l,low_haze_snow_00059,oracle_block_8,18.691355306513792,13.325847338262367,5.365507968251425,0.7223868312757201
a2l,low_rain_00059,input,16.10800411480679,16.10800411480679,0.0,0.0
a2l,low_rain_00059,restored,24.749695606353924,16.10800411480679,8.641691491547135,1.0
a2l,low_rain_00059,fixed_beta_0.95,24.70566725383907,16.10800411480679,8.597663139032282,0.9500000000000001
a2l,low_rain_00059,oracle_image,24.749695606353924,16.10800411480679,8.641691491547135,1.0
a2l,low_rain_00059,oracle_block_32,24.832076014236254,16.10800411480679,8.724071899429465,0.9688888888888889
