type,count,a0_psnr,a3m_psnr,delta_psnr,a0_ssim,a3m_ssim,delta_ssim,a3m_psnr_wins,a0_psnr_harmed,a3m_psnr_harmed
haze,5,20.779433,21.626180,0.846747,0.879533,0.885338,0.005805,4,0,0
haze_rain,5,19.594014,20.373805,0.779791,0.786543,0.798098,0.011555,4,0,0
haze_snow,5,20.726916,21.364600,0.637685,0.832230,0.845381,0.013151,4,0,0
low,5,23.028253,22.736973,-0.291280,0.690391,0.686693,-0.003698,2,0,0
low_haze,5,19.115426,18.975338,-0.140088,0.657722,0.644279,-0.013443,3,0,0
low_haze_rain,5,18.803095,18.466470,-0.336625,0.578830,0.571988,-0.006842,2,0,0
low_haze_snow,5,17.419252,17.338332,-0.080921,0.566119,0.565928,-0.000191,2,0,0
low_rain,5,21.574743,20.941275,-0.633467,0.633854,0.635783,0.001929,1,0,0
low_snow,5,19.823191,19.525939,-0.297251,0.585076,0.625809,0.040733,1,0,0
rain,5,27.060541,26.404491,-0.656050,0.841350,0.840500,-0.000851,1,1,1
snow,5,26.329889,25.755137,-0.574752,0.889874,0.892252,0.002378,3,1,2
